signature,source_name,latency_ms,policy_arm,route_policy,selected_routes,send_slot,landed_slot,slot_index,sent_at,leader_identity,leader_region,leader_city,leader_client,leader_software_client,leader_software_client_id,compute_unit_price_microlamports,estimated_spend_lamports,comparison_group_id
4ucVyy7cVnBuj3sDGsh7g3Yki6PUaL89PfDEhHG82SyLd9fbufutuK9ciS1hqQQyMF6ex1hFaPpMEzxc9ihuu45F,rpcedge_processed,20847.957,tpu_quic_only,tpu_quic_only,tpu_quic,430070084,430070132,711,2026-07-01T09:58:51.862173817Z,JUPiTERrZqgf1jUyR7dSkhMx4Kn2qJyekWsg3LT1h4b,Europe,Amsterdam,HarmonicAgave,HarmonicAgave,10,0,5000,leader-paced-2026-07-01T095542.712Z:JUPiTERrZqgf1jUyR7dSkhMx4Kn2qJyekWsg3LT1h4b:430070084:430070084:0
4ucVyy7cVnBuj3sDGsh7g3Yki6PUaL89PfDEhHG82SyLd9fbufutuK9ciS1hqQQyMF6ex1hFaPpMEzxc9ihuu45F,rpcedge_deshred,20843.274,tpu_quic_only,tpu_quic_only,tpu_quic,430070084,430070132,,2026-07-01T09:58:51.862173817Z,JUPiTERrZqgf1jUyR7dSkhMx4Kn2qJyekWsg3LT1h4b,Europe,Amsterdam,HarmonicAgave,HarmonicAgave,10,0,5000,leader-paced-2026-07-01T095542.712Z:JUPiTERrZqgf1jUyR7dSkhMx4Kn2qJyekWsg3LT1h4b:430070084:430070084:0
5fM5SzgSa37J5QBkRV6cXEmtWsUN4t2wqupkZKWASMHChFTYkCyUMPfx5i65d32XTPXTZd6Sn1aD7zweSLkFt5Lv,rpcedge_processed,3892.847,always_race,always_race,tpu_quic+jito_bundle+harmonic_bundle,430070136,430070145,1376,2026-07-01T09:59:14.091517633Z,EUcJwf7jXskRE6NZBtFPVH2EedNvNYko8LL2WT62XctB,Europe,Offenbach,JitoLabs,HarmonicAgave,10,300000,5198,leader-paced-2026-07-01T095542.712Z:CAo1dCGYrB6NhHh5xb1cGjUiu86iyCfMTENxgHumSve4:430070136:430070136:0
5fM5SzgSa37J5QBkRV6cXEmtWsUN4t2wqupkZKWASMHChFTYkCyUMPfx5i65d32XTPXTZd6Sn1aD7zweSLkFt5Lv,rpcedge_deshred,3891.27,always_race,always_race,tpu_quic+jito_bundle+harmonic_bundle,430070136,430070145,,2026-07-01T09:59:14.091517633Z,EUcJwf7jXskRE6NZBtFPVH2EedNvNYko8LL2WT62XctB,Europe,Offenbach,JitoLabs,HarmonicAgave,10,300000,5198,leader-paced-2026-07-01T095542.712Z:CAo1dCGYrB6NhHh5xb1cGjUiu86iyCfMTENxgHumSve4:430070136:430070136:0
5LbB7t11NWKCeV3PyutmSwPudnGoqRos7Cxm77bcCvq5kTGpC9ekdSpsv2bkz9K7UtBqVXpb43DbEkn5ENHR5SMP,rpcedge_processed,3062.905,tpu_quic_only,tpu_quic_only,tpu_quic,430070128,430070131,2129,2026-07-01T09:59:09.269373600Z,BUokhb8pPF9MZuzW3rHLr6jzakgcz3NDq2PZkpiVv3jb,Europe,Frankfurt am Main,HarmonicFrankendancer,HarmonicFrankendancer,11,0,5000,leader-paced-2026-07-01T095542.712Z:BUokhb8pPF9MZuzW3rHLr6jzakgcz3NDq2PZkpiVv3jb:430070128:430070128:0
3QR4Dq7EjMQMwsZsnRfdBGBaZ73ULq9TTTU1tf6uZLJfSqcABi4HbQTG8HV79G4V9vRFEKu9q34gzJq9eTutVeWx,rpcedge_processed,3062.746,software_client_aware,software_client_aware_harmonic,tpu_quic+harmonic_bundle,430070128,430070131,2127,2026-07-01T09:59:09.269373600Z,BUokhb8pPF9MZuzW3rHLr6jzakgcz3NDq2PZkpiVv3jb,Europe,Frankfurt am Main,HarmonicFrankendancer,HarmonicFrankendancer,11,300000,5198,leader-paced-2026-07-01T095542.712Z:BUokhb8pPF9MZuzW3rHLr6jzakgcz3NDq2PZkpiVv3jb:430070128:430070128:0
5LbB7t11NWKCeV3PyutmSwPudnGoqRos7Cxm77bcCvq5kTGpC9ekdSpsv2bkz9K7UtBqVXpb43DbEkn5ENHR5SMP,rpcedge_deshred,3060.475,tpu_quic_only,tpu_quic_only,tpu_quic,430070128,430070131,,2026-07-01T09:59:09.269373600Z,BUokhb8pPF9MZuzW3rHLr6jzakgcz3NDq2PZkpiVv3jb,Europe,Frankfurt am Main,HarmonicFrankendancer,HarmonicFrankendancer,11,0,5000,leader-paced-2026-07-01T095542.712Z:BUokhb8pPF9MZuzW3rHLr6jzakgcz3NDq2PZkpiVv3jb:430070128:430070128:0
3QR4Dq7EjMQMwsZsnRfdBGBaZ73ULq9TTTU1tf6uZLJfSqcABi4HbQTG8HV79G4V9vRFEKu9q34gzJq9eTutVeWx,rpcedge_deshred,3060.467,software_client_aware,software_client_aware_harmonic,tpu_quic+harmonic_bundle,430070128,430070131,,2026-07-01T09:59:09.269373600Z,BUokhb8pPF9MZuzW3rHLr6jzakgcz3NDq2PZkpiVv3jb,Europe,Frankfurt am Main,HarmonicFrankendancer,HarmonicFrankendancer,11,300000,5198,leader-paced-2026-07-01T095542.712Z:BUokhb8pPF9MZuzW3rHLr6jzakgcz3NDq2PZkpiVv3jb:430070128:430070128:0
4mvyy7zyqxXynHZegDHTd5ULZCYsmmxstyqM8vH8xAdRCtspaan7BpfYv3zUNyfLXN4k7SGSwFjrabPMCQzf34PJ,rpcedge_processed,1734.647,tpu_quic_only,tpu_quic_only,tpu_quic,430069792,430069795,1319,2026-07-01T09:56:54.177287827Z,nymsHergYedT9CJMgtGMvqXUTGcbs5o3MiWTJUbqTGY,Europe,Frankfurt am Main,HarmonicFrankendancer,HarmonicFrankendancer,11,0,5000,leader-paced-2026-07-01T095542.712Z:nymsHergYedT9CJMgtGMvqXUTGcbs5o3MiWTJUbqTGY:430069792:430069792:0
2ap5KW4mJ3T9fjhuynrceSL1DyhRM18DSjnmB7MPDJiUiJ6kHfoniTcak59sUxfwAC1cMgHpLbFUbjmKCeus495k,rpcedge_processed,1734.634,software_client_aware,software_client_aware_harmonic,tpu_quic+harmonic_bundle,430069792,430069795,1317,2026-07-01T09:56:54.177287827Z,nymsHergYedT9CJMgtGMvqXUTGcbs5o3MiWTJUbqTGY,Europe,Frankfurt am Main,HarmonicFrankendancer,HarmonicFrankendancer,11,300000,5198,leader-paced-2026-07-01T095542.712Z:nymsHergYedT9CJMgtGMvqXUTGcbs5o3MiWTJUbqTGY:430069792:430069792:0
